borough,(Multiple Items),
,,
Row Labels,Sum of pickups,Average of spd
Jan,1947808,7.208352052
1-Jan,54671,6.065359477
2-Jan,39668,7.582278481
3-Jan,59244,6.2434375
4-Jan,43230,5.645541401
5-Jan,43591,10.89808917
6-Jan,53399,4.750527426
7-Jan,62982,10.05
8-Jan,72847,10.01273885
9-Jan,71021,8.17943038
10-Jan,80135,8.716981132
11-Jan,61057,6.238993711
12-Jan,58941,4.494479167
13-Jan,64437,7.960970464
14-Jan,64692,7.507575758
15-Jan,67822,4.27672956
16-Jan,73097,8.216049383
17-Jan,75271,7.564102564
18-Jan,76191,3.950925926
19-Jan,47381,6.794871795
20-Jan,55673,6.006535948
21-Jan,60279,4.90625
22-Jan,66275,4.020512821
23-Jan,72321,6.3875
24-Jan,82543,6.111283644
25-Jan,61281,6.79375
26-Jan,45082,10.4888535
27-Jan,25288,9.802222222
28-Jan,61197,8.603773585
29-Jan,69669,3.640625
30-Jan,84064,7.982278481
31-Jan,94459,13.74375
Feb,2263427,7.229562079
1-Feb,80299,4.066878981
2-Feb,70922,7.916770833
3-Feb,71150,8.24375
4-Feb,68266,4.891025641
5-Feb,81519,7.19375
6-Feb,86787,8.641104294
7-Feb,82668,4.145705521
8-Feb,66342,6.822916667
9-Feb,63174,10.44904459
10-Feb,65968,9.798076923
11-Feb,73491,9.075471698
12-Feb,83800,5.277950311
13-Feb,98924,10.0931677
14-Feb,102275,5.377300613
15-Feb,92460,12.22075472
16-Feb,74822,10.16666667
17-Feb,74090,4.727463312
18-Feb,73313,3.651234568
19-Feb,89309,10.73691216
20-Feb,102005,11.32075472
21-Feb,100108,5.344650206
22-Feb,70724,2.614814815
23-Feb,71968,9.197530864
24-Feb,80381,7.03125
25-Feb,75867,6.714285714
26-Feb,84313,7.064814815
27-Feb,89136,5.190184049
28-Feb,89346,4.691358025
Mar,2261710,6.065960594
1-Mar,73420,2.95
2-Mar,57334,5.717505241
3-Mar,74636,5.6596875
4-Mar,71819,5.683544304
5-Mar,77201,6.179089027
6-Mar,81879,5.17791411
7-Mar,81656,6.670731707
8-Mar,63785,5.220496894
9-Mar,53866,4.805031447
10-Mar,71706,3.560126582
11-Mar,65295,5.285507246
12-Mar,73486,8.841772152
13-Mar,78546,6.367283951
14-Mar,91053,5.112474438
15-Mar,65151,9.630801688
16-Mar,54742,5.974842767
17-Mar,62279,6.949685535
18-Mar,70433,11.68867925
19-Mar,75372,6.5625
20-Mar,94406,6.472392638
21-Mar,80607,5.794303797
22-Mar,71278,8.260869565
23-Mar,60440,6.653846154
24-Mar,64204,4.694267516
25-Mar,73740,3.711180124
26-Mar,77595,2.218426501
27-Mar,84403,5.029856851
28-Mar,91979,7.24375
29-Mar,78136,6.783950617
30-Mar,62772,7.438709677
31-Mar,78491,5.857594937
Apr,2279842,6.545716965
1-Apr,69179,5.670967742
2-Apr,73359,5.474683544
3-Apr,76024,7.351265823
4-Apr,69016,9.297008547
5-Apr,59853,6.305031447
6-Apr,53175,4.01863354
7-Apr,68048,6.256989247
8-Apr,71569,10.38853503
9-Apr,77217,10.09773663
10-Apr,80710,4.772016461
11-Apr,82193,9.0125
12-Apr,69820,4.062111801
13-Apr,56741,4.13125
14-Apr,63198,4.724683544
15-Apr,66212,5.102484472
16-Apr,78195,6.907407407
17-Apr,82970,5.882413088
18-Apr,93678,3.172839506
19-Apr,80447,8.045454545
20-Apr,78126,7.889403292
21-Apr,68506,5.881935484
22-Apr,81765,5.658385093
23-Apr,91014,9.234177215
24-Apr,98407,8.593373494
25-Apr,106421,6.590534979
26-Apr,91368,5.233128834
27-Apr,64848,5.125786164
28-Apr,68633,7.801886792
29-Apr,75489,5.049689441
30-Apr,83661,8.73566879
May,2696638,4.231609991
1-May,91257,5.82208589
2-May,105291,2.76969697
3-May,82398,3.162576687
4-May,65395,4.05
5-May,75616,5.428571429
6-May,80617,5.3125
7-May,86476,2.128125
8-May,89863,2.396084337
9-May,98359,5.082828283
10-May,82326,3.217987805
11-May,70180,4.32194617
12-May,78019,4.79
13-May,84134,7.802469136
14-May,93213,3.9875
15-May,99068,4.079268293
16-May,120633,1.977272727
17-May,97252,2.220281125
18-May,76537,4.510264228
19-May,84832,1.692386831
20-May,90627,6.406504065
21-May,94912,3.006134969
22-May,85981,4.775757576
23-May,78527,5.460365854
24-May,68791,4.162576687
25-May,60347,4.082317073
26-May,72675,5.070987654
27-May,88315,5.381097561
28-May,94056,3.457055215
29-May,97208,5.060606061
30-May,104624,4.818181818
31-May,99109,4.810606061
Jun,2816348,4.799752136
1-Jun,93253,9.466666667
2-Jun,97361,7.656646217
3-Jun,86754,5.492753623
4-Jun,94422,5.355828221
5-Jun,101269,3.961656442
6-Jun,101690,3.572289157
7-Jun,90579,3.473737374
8-Jun,77247,4.975609756
9-Jun,82247,5.385093168
10-Jun,87110,3.438271605
11-Jun,100960,5.192771084
12-Jun,102698,3.837349398
13-Jun,101186,6.50154321
14-Jun,91805,2.404907975
15-Jun,87016,3.706847087
16-Jun,88710,3.532323232
17-Jun,93300,3.73030303
18-Jun,99300,3.680981595
19-Jun,100912,3.331313131
20-Jun,101990,5.642570281
21-Jun,91063,4.662195122
22-Jun,75456,5.091463415
23-Jun,92811,5.606060606
24-Jun,90698,5.576687117
25-Jun,99408,2.90797546
26-Jun,98856,4.59375
27-Jun,135111,4.925304878
28-Jun,96150,6.511919192
29-Jun,74766,5.5
30-Jun,82220,4.425925926
Grand Total,14265773,5.98492418
