name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-01-01,3.7,-2.6,0.5,2.1,-8.3,-3.5,-12.4,37.7,0,0,0,,0,0,45.7,21.3,251.4,1018.5,7.3,16,114.3,9.9,5,,2015-01-01T07:20:09,2015-01-01T16:39:07,0.38,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-02,5.7,2.2,3.7,2.5,-2.2,0.1,-8.4,41,0,0,0,,0,0,45.8,25.9,270.3,1022.8,31.5,16,110.6,9.5,5,,2015-01-02T07:20:15,2015-01-02T16:39:58,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-03,4.8,0.8,2.1,1.7,-3.4,-1,-3.3,69.4,16.714,100,45.83,"rain,snow",0,0,37.1,15.7,69.8,1031.1,65.1,10.2,61.9,5.2,3,,2015-01-03T07:20:19,2015-01-03T16:40:50,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-04,13,5,9,13,2.6,8.1,7,87.4,8.95,100,45.83,rain,0,0,49.1,26.7,245.7,1010.4,91.5,10.9,43.2,3.8,3,,2015-01-04T07:20:20,2015-01-04T16:41:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-05,10.2,-5.6,2.4,10.2,-11.5,-2.3,-11,37.1,0,0,0,,0,0,72.2,38.9,290.5,1019.2,33.1,16,115.3,9.9,5,,2015-01-05T07:20:19,2015-01-05T16:42:40,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-06,-5.6,-7.3,-6.4,-5.8,-13.7,-10,-13.7,57.9,1.26,100,16.67,snow,0.5,0.2,38.9,24.1,290.6,1024.2,62,11.4,24.1,2.1,1,,2015-01-06T07:20:16,2015-01-06T16:43:36,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-07,-4.8,-12.1,-7.1,-10.9,-21.8,-14.5,-16.4,48.8,0,0,0,,0.3,0.5,57.1,34.9,292,1016.8,34.5,15.8,78.3,6.7,3,,2015-01-07T07:20:11,2015-01-07T16:44:35,0.58,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-08,-6.6,-13.3,-9.9,-11.4,-22.4,-17.1,-20.1,43.5,0,0,0,,0.2,0.1,48.7,23.8,271.9,1027.5,10.4,16,117.3,10,5,,2015-01-08T07:20:03,2015-01-08T16:45:34,0.61,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-09,0.5,-7.3,-3.1,-3.5,-13.2,-8.8,-12.8,48.2,1.914,100,8.33,snow,0.4,0.3,48.2,31.7,249.3,1018.3,55,14,66.2,5.9,3,,2015-01-09T07:19:53,2015-01-09T16:46:35,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-10,-4.8,-8.7,-6.7,-8.7,-16.2,-12.8,-18.2,39.7,0,0,0,,0.2,0.6,46.4,22.3,277,1030.3,2.4,16,124.7,10.7,5,,2015-01-10T07:19:41,2015-01-10T16:47:37,0.68,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-11,2.7,-7.6,-1.9,-0.1,-13.6,-5.8,-14.9,36.6,0,0,0,,0.4,0.6,33.5,17.4,230.7,1035.9,43,16,120.5,10.4,5,,2015-01-11T07:19:27,2015-01-11T16:48:40,0.71,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-12,3.5,1.7,2.7,3.4,-0.9,1,-2.4,71.4,9.445,100,41.67,"rain,snow",0,0.1,42.5,13.9,281.2,1025,100,10.9,13.5,1.2,1,,2015-01-12T07:19:10,2015-01-12T16:49:44,0.74,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-13,2.2,-8.3,-3.1,-1.3,-13.7,-8.5,-10.7,56.7,0,0,0,,0,0,40.7,29.5,11.5,1032.7,39.8,16,122.6,10.5,5,,2015-01-13T07:18:51,2015-01-13T16:50:49,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-14,-0.3,-8.3,-4.1,-1.2,-14.6,-8.4,-10.6,60.4,0,0,0,,0,0,31.7,22,39.6,1028.8,68.6,16,63.7,5.6,3,,2015-01-14T07:18:30,2015-01-14T16:51:55,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-15,1.1,-3.7,-1.2,-1.8,-8,-4.4,-8.9,56.9,0,0,0,,0,0,37.1,25.9,293.7,1018.3,44.9,15.9,92.5,7.9,5,,2015-01-15T07:18:07,2015-01-15T16:53:02,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
